avgSpeed;trafficScale;stops_per_m;emission_per_m;elevation_up_per_m;elevation_down_per_m;timeloss_per_m;delta_elevation_per_m
0.10287731423721151;0.3;0.32076532179092715;0.1749439772719515;0.1306418487771414;-0.19486220647174812;0.21439694743869947;-0.06422035769460671
0.6521988867608268;0.3;0.27954350350956925;0.3108605578138109;0.049890621228567925;-0.04968261049511328;0.018397989754789672;0.00020801073345464577
0.5960266646068286;0.3;0.3035003029081928;0.4962217799317286;0.4077513680566152;-0.2655557005466327;0.013398047735555056;0.14219566750998253
0.3611938503259594;0.3;0.24901712054555433;0.1401557900310775;0.07849095327377457;-0.27705857232830905;0.05471401929448813;-0.19856761905453446
0.2799305869780696;0.3;0.25253032953379567;0.3428362407561172;0.28316413355019826;-0.08547205541236212;0.09206143419228573;0.19769207813783612
0.22489195098446285;0.3;0.25261204215109645;0.32290859972400193;0.2842366095211775;-0.0864848939394228;0.1220601463776833;0.19775171558175472
0.1737722962569101;0.3;0.25148469545365193;0.3441385387768496;0.28234039690109447;-0.08546842789345668;0.159301132224827;0.1968719690076378
0.3534001405662244;0.3;0.13930704321190837;0.329929862710122;0.40557543255362793;-0.42012975884655457;0.05789963487182935;-0.014554326292926634
0.5125266602495786;0.3;0.2367938306232317;0.2707072739564868;0.10443991205539954;-0.15170227006715487;0.03882071910706217;-0.04726235801175532
0.5075266934769566;0.3;0.29073663645053205;0.2105149329190614;0.16313024582841867;-0.1252450608125656;0.03268408705701334;0.037885185015853085
0.5163583696775776;0.3;0.2367938306232317;0.25748370608360815;0.1039755053318328;-0.1512358127967056;0.02852734661655326;-0.047260307464872794
0.16138961541132052;0.3;0.262243360777663;0.24843163708690805;0.2236144971968318;-0.141430859100613;0.1807645256277802;0.08218363809621879
0.19570780518881234;0.3;0.262243360777663;0.25241365618634054;0.2232144712626691;-0.1410290668872588;0.14695757719254246;0.0821854043754103
0.636847359321594;0.3;0.42580456587286936;0.21693650265804426;0.2188889616180124;-0.10666577300566521;0.01183443443905735;0.1122231886123472
0.37049667632747885;0.3;0.7040315401246343;-0.020184463455253952;0.024163413166566488;-0.5339423008450634;0.04600306585000043;-0.509778887678497
0.33724658422935666;0.3;0.7040315401246343;-0.03838975221540666;0.024163413166566488;-0.5339423008450634;0.054796547732827126;-0.509778887678497
0.6156832231075964;0.3;0.2507382915119123;0.19682590944106526;0.0369726901868648;-0.308100245672494;0.018175755411244898;-0.2711275554856292
0.15977587077206157;0.3;0.16411539992715507;0.678482737014186;0.5254490859521608;-0.18765125688747555;0.19253748293626247;0.33779782906468525
0.12993039408345203;0.3;0.164092257802519;0.7494898210108614;0.5261795475806443;-0.18794803927267859;0.2508782493974703;0.3382315083079658
0.1203299098671259;0.3;0.2697450680575412;0.1112264374587309;0.15179092735065786;-0.48118870481173814;0.2665715120888937;-0.3293977774610803
0.31699617188262275;0.3;0.205026375242721;0.27104873833488524;0.3751625619506423;-0.3795564608807754;0.07276752173558974;-0.004393898930133089
0.32936661804431333;0.3;0.205026375242721;0.21090510193341477;0.37462642395571455;-0.37901795561587004;0.06589105199942102;-0.00439153166015549
0.8765464880660894;0.3;0.08504473613057051;0.5365827266551061;0.5153413490191974;-0.414028284589044;0.005712591616565824;0.10131306443015337
0.5862013834921007;0.3;0.29073663645053205;0.20934181835028373;0.16083888306417707;-0.12294358073835711;0.024071774837044466;0.03789530232581996
0.47541966709656525;0.3;0.23860472276099873;0.24246457436912874;0.10648651006459511;-0.1536457946362999;0.03149307590316582;-0.04715928457170479
0.15086241004770437;0.3;0.19121582100963022;0.42846928947601465;0.3877082674335505;-0.31448534285987134;0.20632580443228693;0.07322292457367918
0.2667456438064354;0.3;0.2187628172969969;0.2966144728195844;0.30163033152854585;-0.38470936568331393;0.08850443802541451;-0.08307903415476808
0.3271196323701191;0.3;0.21862721988934383;0.2605173426961284;0.30191728209081165;-0.38494691325920183;0.05732487700757211;-0.08302963116839018
0.21333227203072355;0.3;0.19142079286664376;0.3808661881288449;0.38899984701140006;-0.31570229967825186;0.1316109636164307;0.0732975473331482
0.16688356343265712;0.3;0.21715500642709878;0.25725598539303335;0.30176708617646947;-0.38424591796310287;0.16309622362390128;-0.0824788317866334
0.10639742810964792;0.3;0.19142079286664376;0.42415730281714165;0.38828608582422297;-0.3149853869415752;0.3090766304378486;0.07330069888264779
0.3633551098419879;0.3;0.11144563456952669;0.3258410462288543;0.40570293190369194;-0.4202578211587413;0.05595963650505659;-0.01455488925504933
0.10261678825341808;0.3;0.32076532179092715;0.16490756843118676;0.1306418487771414;-0.19486220647174812;0.21096467824689663;-0.06422035769460671
0.6521997911972973;0.3;0.27954350350956925;0.3124954032070194;0.049890621228567925;-0.04968261049511328;0.018793881943177253;0.00020801073345464577
0.5711915937181453;0.3;0.3035003029081928;0.477416555967812;0.4078671078715618;-0.26567195140051275;0.013808963650807115;0.14219515647104902
0.19146957720809266;0.3;0.24895176140061687;0.17300341390489357;0.07826321500011481;-0.276777801719076;0.15502035311288842;-0.19851458671896122
0.20632682000889233;0.3;0.25407733416115064;0.3264416518425355;0.2851102028598973;-0.08620799347897422;0.14027973267923347;0.19890220938092307
0.14837262253883118;0.3;0.25224098964753916;0.3240383420977563;0.2829796103403324;-0.08551465823968428;0.21035114955165227;0.19746495210064813
0.19225964698570405;0.3;0.25378444047127857;0.32160055849170327;0.2852038509652567;-0.08653279553440658;0.1446079485191202;0.19867105543085012
0.3956596189640258;0.3;0.13930704321190837;0.3879934605829281;0.40319544468576635;-0.4177392623524065;0.05539517370342497;-0.014543817666640146
